,D614G_IC50,Omicron_IC50,BA2_IC50,BA3_IC50,SARS_IC50,R346K_IC50,BA2_12_1_IC50,BA4_IC50,BA2_13_IC50,source_group,group
BD55-5543,0.0852012,10,10,10,0.0110351,10,10,10,10,SARS,F3
BD55-5545,1.2095,8.1638,8.3231,5.9123,0.468101,10,9.09979,6.856054,7.45548,SARS,E3
BD55-5549,0.00109659,0.0265203,0.0575536,0.030912,0.0243054,0.0141086,0.0219587,0.0217193,0.0220298,SARS,E1
BD55-5550,10,10,10,NA,NA,10,10,NA,NA,SARS,F1
BD55-5551,10,10,10,10,0.197699,10,10,10,10,SARS,E3
BD55-5555,10,10,10,10,10,10,10,10,10,SARS,F1
BD55-5557,1.58298,6.0361,8.53444,5.9123,0.0717723,8.21625,9.12501,6.18116,7.52682,SARS,F1
BD55-5558,0.0156595,0.0160073,10,10,0.00397136,0.0124854,10,10,10,SARS,F3
BD55-5564,0.245749,10,10,10,0.0258233,10,10,10,10,SARS,F2
BD55-5565,0.108335,10,NA,NA,0.00780236,10,10,NA,NA,SARS,E1
BD55-5566,0.0925165,10,10,10,0.00642325,10,10,10,10,SARS,D1
BD55-5568,0.25717,1.2836,1.75981,2.9192,0.0205422,1.96888,1.75987,1.87293,1.770472,SARS,F1
BD55-5569,10,10,10,10,0.511334,10,10,10,10,SARS,E3
BD55-5575,10,10,10,10,0.239316,10,10,10,10,SARS,F1
BD55-5577,10,10,10,10,0.931145,10,10,10,10,SARS,F1
BD55-5579,10,10,10,10,0.20824,10,10,10,10,SARS,F1
BD55-5580,0.0360704,10,10,10,0.0658916,10,10,10,10,SARS,A
BD55-5581,10,10,10,10,10,10,10,10,10,SARS,E3
BD55-5583,0.125135,1.26918,1.65742,2.91,0.0266526,0.999574,1.660233,1.46551,1.736196,SARS,E3
BD55-5585,0.002134,0.0132269,0.163755,0.21828,0.00645056,0.00479672,0.13542,0.151306,0.1557068,SARS,E1
BD55-5588,0.0636182,10,10,10,0.0044134,10,10,10,10,SARS,F3
BD55-5589,10,10,10,NA,NA,10,10,NA,NA,SARS,E3
BD55-5591,0.00177847,0.00316216,0.0142818,0.0118273,0.0103732,0.00293,0.00912536,0.00990659,0.0133797,SARS,E1
BD55-5593,2.47302,3.0941,2.9912,3.9541,0.0110993,3.479026,4.12468,3.325889,3.04271,SARS,F3
BD55-5594,0.0372501,10,10,10,0.0150865,10,10,10,10,SARS,F2
BD55-5598,2.25031,NA,NA,NA,NA,NA,2.59166,NA,NA,SARS,E2.2
BD55-5609,0.793194,1.07307,NA,NA,0.09119,1.74175,1.597382,NA,NA,SARS,F1
BD55-5610,0.906347,10,10,10,0.0272972,10,10,10,10,SARS,F2
BD55-5612,0.0026203,0.245741,0.658086,0.6923,0.0100326,0.584601,0.5438636,0.931136,0.714997,SARS,E1
BD55-5615,0.0253993,10,10,10,0.00542576,10,10,10,10,SARS,F3
BD55-5617,10,10,10,10,0.0314844,10,10,10,10,SARS,E2.2
BD55-5620,0.0416431,10,NA,NA,0.016872,10,10,NA,NA,SARS,F2
BD55-5623,10,10,10,10,10,10,10,10,10,SARS,F2
BD55-5625,1.65491,3.54113,5.47314,1.912983,0.116367,3.00544,4.62393,1.01843,3.06585,SARS,E3
BD55-5629,0.0145985,0.233355,3.87475,1.992,0.0136822,0.0583841,3.45186,5.49438,3.49438,SARS,F3
BD55-5630,1.22204,1.7954,0.658565,0.99129,0.227685,1.03277,1.69649,2.21892,1.7078,SARS,E3
BD55-5634,0.00092392,10,10,10,0.753553,10,10,10,10,SARS,C
BD55-5636,10,10,10,10,0.908328,10,10,10,10,SARS,F1
BD55-5638,0.472885,10,10,10,0.0395126,10,10,10,10,SARS,F2
BD55-5640,0.0142748,0.0692172,10,10,0.0142509,0.0793447,10,10,10,SARS,F2
BD55-5643,0.00123776,1.90369,NA,NA,0.00211927,10,2.24292,NA,NA,SARS,E1
BD55-5644,0.76242,3.506235,8.982,5.58238,0.00298107,2.11458,4.07499,7.20597,4.713,SARS,E1
BD55-5647,10,10,10,NA,NA,10,10,NA,NA,SARS,D2
BD55-5649,0.0252351,0.158945,2.33962,1.0192,0.035314,0.209458,1.705482,2.189111,1.73971,SARS,F3
BD55-5655,0.00639066,10,10,10,10,10,10,10,10,SARS,B
BD55-5662,0.102882,3.19817,10,10,0.0127014,10,10,10,10,SARS,F2
BD55-5675,0.0246551,6.1992,10,10,0.0154291,2.01809,10,10,10,SARS,F2
BD55-5676,0.0131732,10,NA,NA,0.00943561,10,10,NA,NA,SARS,F2
BD55-5687,2.32766,5.0813,4.1293,3.91283,0.137134,4.54674,4.07631,3.64989,5.99226,SARS,E3
BD55-5690,0.050572,10,10,10,0.0379068,10,10,10,10,SARS,F2
BD55-5694,10,10,10,10,0.710025,10,10,10,10,SARS,F2
BD55-5697,0.0031255,0.0133972,0.168367,0.167,0.0125819,0.0196913,0.1668766,0.2338149,0.1841222,SARS,E1
BD55-5699,0.421443,10,10,10,0.0922059,10,10,10,10,SARS,F2
BD55-5700,0.073307,0.0668627,10,10,0.0104871,0.0926564,10,10,10,SARS,F2
BD55-5713,0.00644154,10,10,10,0.00464695,6.57029,10,10,10,SARS,F3
BD55-5715,0.235869,10,10,10,0.00546963,10,10,10,10,SARS,F3
BD55-5718,0.00497164,10,10,10,0.0126241,10,10,10,10,SARS,E1
BD55-5721,1.31649,10,2.16525,10,10,10,10,10,2.50437,SARS,D1
BD55-5728,0.0782767,10,10,10,0.00298721,10,10,10,10,SARS,E1
BD55-5731,0.545579,10,10,10,0.00150338,10,10,10,10,SARS,A
BD55-5736,0.319205,10,10,10,0.0435909,10,10,10,10,SARS,F2
BD55-5737,0.0669048,10,10,10,0.0196143,10,10,10,10,SARS,F2
BD55-5743,0.0538256,10,10,10,0.0016674,10,10,10,10,SARS,A
BD55-5745,0.242964,10,10,10,0.002522,10,10,10,10,SARS,B
BD55-5747,0.00111503,0.0260768,0.0459881,0.5273,10,0.0342,0.72084,0.0510741,0.0663781,SARS,C
BD55-5752,1.39679,10,10,10,0.429325,10,10,10,10,SARS,E3
BD55-5753,10,10,10,10,10,10,10,10,10,SARS,E3
BD55-5761,0.149976,10,10,10,0.0138168,10,10,10,10,SARS,F3
BD55-5770,2.35522,10,10,10,1.123,10,10,10,10,SARS,F1
BD55-5774,0.0131939,4.0762,1.64673,2.317,10,2.08743,1.622783,10,1.484885,SARS,B
BD55-5779,0.362957,10,10,10,0.00834262,0.0251984,10,10,10,SARS,E1
BD55-5784,10,10,10,10,1.93381,10,10,10,10,SARS,F1
BD55-5785,1.97082,10,10,10,1.2992,10,10,10,10,SARS,F3
BD55-5789,10,10,10,10,0.189617,10,10,10,10,SARS,E2.2
BD55-5790,2.83765,10,10,10,3.97759,10,10,10,10,SARS,F1
BD55-5792,0.363717,10,10,10,0.00189115,10,10,10,10,SARS,F2
BD55-5794,0.920791,10,10,10,0.097245,10,10,10,10,SARS,F1
BD55-5810,0.173569,10,10,10,0.00440443,10,10,10,10,SARS,F3
BD55-5811,0.0317016,10,10,10,10,10,10,10,10,SARS,B
BD55-5815,0.648297,5.84496,10,6.19,0.0653524,7.61692,6.30153,8.11679,6.85482,SARS,F1
BD55-5830,1.26624,10,10,10,0.199772,10,10,10,10,SARS,E3
BD55-5831,0.156621,10,10,10,0.00569348,10,10,10,10,SARS,F2
BD55-5832,0.011688,10,10,10,0.00738259,10,10,10,10,SARS,E1
BD55-5836,0.39903,10,10,10,10,10,10,10,10,SARS,D1
BD55-5839,0.957707,10,NA,NA,0.0338002,10,10,NA,NA,SARS,F2
BD55-5840,0.00091,0.0044,0.0121,0.00812,0.00560864,0.0045,0.00501885,0.00393188,0.0048702,SARS,E1
BD55-5844,10,10,10,10,0.130859,10,10,10,10,SARS,E2.2
BD55-5847,10,10,10,NA,NA,10,10,NA,NA,SARS,F1
BD55-5854,0.016065,10,10,10,10,10,10,10,10,SARS,C
BD55-5856,0.00186357,10,10,10,10,10,10,10,10,SARS,A
BD55-5858,0.30776,10,10,10,0.0658705,10,10,10,10,SARS,E3
BD55-5874,0.0640806,10,10,10,0.00544627,10,10,10,10,SARS,F2
BD55-5878,0.0706846,10,10,10,0.00411615,10,10,10,10,SARS,F2
BD55-5879,1.79788,10,10,10,0.239303,10,10,10,10,SARS,F1
BD55-5889,1.71861,10,10,10,1.66703,10,10,10,10,SARS,F1
BD55-5900,10,10,10,10,0.137859,10,10,10,10,SARS,F1
BD55-5906,0.0228018,10,10,10,0.00244432,10,10,10,10,SARS,F3
BD55-5909,0.107964,10,10,10,10,10,10,10,10,SARS,C
BD55-5927,0.244383,10,NA,NA,0.0284274,5.88319,10,NA,NA,SARS,F2
BD55-5961,10,10,10,10,0.829346,10,10,10,10,SARS,F1
BD55-5966,0.00516712,10,10,10,10,10,10,10,10,SARS,A
BD55-5992,0.486097,10,10,10,0.362866,10,10,10,10,SARS,E3
BD55-6015,0.431941,10,10,10,0.0316206,10,10,10,10,SARS,F2
BD55-6025,0.108234,10,10,10,0.0366193,10,10,10,10,SARS,F3
BD55-6030,0.624528,10,NA,NA,0.21512,10,10,NA,NA,SARS,F2
BD55-6033,1.17171,10,10,10,0.0280582,10,10,10,10,SARS,F2
BD55-6034,10,10,10,10,0.726312,10,10,10,10,SARS,F1
BD55-6037,10,10,10,10,0.454483,10,10,10,10,SARS,F1
BD55-6038,1.90924,10,10,10,2.71343,10,10,10,10,SARS,F1
BD55-6041,1.37116,10,10,10,0.643016,10,10,10,10,SARS,E3
BD55-6055,10,10,10,10,0.219942,10,10,10,10,SARS,F1
BD55-6059,10,10,10,NA,NA,10,10,NA,NA,SARS,F1
BD55-6062,10,10,10,10,10,10,10,10,10,SARS,F1
BD55-6063,0.0700616,10,10,10,0.0173978,10,10,10,10,SARS,F2
BD55-6066,0.0308951,10,10,10,0.0113207,10,10,10,10,SARS,F2
BD55-6068,0.0315155,10,NA,NA,0.00901199,10,10,NA,NA,SARS,F2
BD55-6069,0.0505958,10,10,10,0.0156075,10,10,10,10,SARS,F3
BD55-6075,1.00796,10,NA,NA,0.897055,10,10,NA,NA,SARS,F1
BD55-6078,0.706842,10,10,10,0.18896,10,10,10,10,SARS,E2.2
BD55-6080,0.0157231,10,10,10,0.0144323,10,10,10,10,SARS,F2
BD55-6086,0.100285,10,10,10,0.00998857,10,10,10,10,SARS,F2
BD55-6088,0.0783929,10,NA,NA,0.0091578,2.55203,10,NA,NA,SARS,F2
BD55-6092,0.636969,10,10,10,0.0361799,10,10,10,10,SARS,F2
BD55-6095,1.52823,10,10,10,0.765794,10,10,10,10,SARS,F2
BD55-6103,0.611062,10,10,10,0.0117172,10,10,10,10,SARS,F2
BD55-6105,0.115658,10,10,10,0.0668796,10,10,10,10,SARS,F2
BD55-6112,1.86221,0.60084,10,10,0.00105463,0.435561,10,10,10,SARS,F3
BD55-6190,0.0583305,1.28228,NA,NA,0.0182066,1.30864,10,NA,NA,SARS,F2
BD55-6195,0.0146732,4.09479,10,10,0.00357808,10,10,10,10,SARS,F3
BD55-6197,0.138386,10,10,10,0.0107372,10,10,10,10,SARS,F2
BD55-6203,0.0268934,10,10,10,0.00134777,10,10,10,10,SARS,F3
BD55-6206,0.015392,0.298694,10,10,0.0032576,0.378058,10,10,10,SARS,F3
BD55-6208,0.0194734,10,10,10,0.00355528,10,10,10,10,SARS,F3
BD55-6222,0.354866,10,10,10,0.146622,10,10,10,10,SARS,F1
BD55-6231,0.0460096,0.68048,10,10,0.0104531,0.623695,10,10,10,SARS,F2
BD55-6234,0.658183,10,10,10,10,10,10,10,10,SARS,E3
BD55-6241,0.00492298,10,NA,NA,0.00483807,10,10,NA,NA,SARS,E1
BD55-6243,0.26276,10,NA,NA,0.0420322,10,10,NA,NA,SARS,F2
BD55-6251,0.0874182,10,NA,NA,0.0297474,10,10,NA,NA,SARS,F2
BD55-6261,0.0199837,0.80552,10,10,0.00328111,0.861391,10,10,10,SARS,F3
BD55-6262,0.0358356,10,10,10,0.00527779,10,10,10,10,SARS,F2
BD55-6263,0.129604,10,NA,NA,0.010776,10,10,NA,NA,SARS,F2
BD55-6283,0.147508,2.41867,10,10,0.0148709,0.949592,10,10,10,SARS,F2
BD55-6305,0.052422737,0.1002155,10,10,0.0155307,0.0952881,10,10,10,SARS,F2
BD55-6306,0.157955617,10,10,10,0.0145919,10,10,10,10,SARS,F2
BD55-6308,0.148128,10,10,10,0.0038589,10,10,10,10,SARS,F2
BD55-6317,0.431268,10,10,10,0.0106386,10,10,10,10,SARS,F2
BD55-6329,3.74409,0.986576,NA,10,0.00343308,0.796475,10,10,10,SARS,F3
BD55-6340,0.221836,10,10,10,0.00597953,10,10,10,10,SARS,F3
BD55-6346,3.12702,1.63597,2.298123,1.872,0.0574349,1.8311,2.50948,1.5125,1.61313,SARS,E3
BD55-6379,0.0815585,10,10,10,0.0137084,10,10,10,10,SARS,F2
BD55-6382,0.00477639,10,10,10,10,10,10,10,10,SARS,B
BD55-6383,0.0247459,10,10,10,0.00298975,10,10,10,10,SARS,B
BD55-6385,0.0332676,10,0.71765,5.128,10,10,10,10,10,SARS,D1
BD55-6392,0.384152,10,NA,NA,0.0180182,10,10,NA,NA,SARS,F2
BD55-6411,0.0931269,10,10,10,0.00334217,10,10,10,10,SARS,F3
BD55-6413,0.0965007,10,10,10,0.00128296,10,10,10,10,SARS,A
BD55-6447,0.336162,3.13957,10,10,0.00506507,2.74655,10,10,10,SARS,F3
BD55-6477,3.13378,0.0812866,NA,10,0.00330755,0.0592381,10,10,10,SARS,F3
BD55-6478,0.0249304,0.290169,10,10,0.00293126,0.178163,10,10,10,SARS,F3
BD55-6486,0.0109374,0.735078,10,10,0.00284657,0.309223,10,10,10,SARS,F2
BD55-6507,0.0337947,0.0544999,10,10,0.00828135,0.0530603,10,10,10,SARS,F2
BD55-6510,0.0572694,10,10,10,0.0112704,10,10,10,10,SARS,F2
BD55-6511,10,10,10,10,0.337168,10,10,10,10,SARS,E2.2
BD55-6520,0.0278309,10,10,10,0.00367535,10,10,10,10,SARS,F3
BD55-6527,1.73608,0.449646,NA,10,0.00446199,0.27013,10,10,10,SARS,F3
BD55-6552,0.145759,10,10,10,0.0260674,10,10,10,10,SARS,F3
BD55-6564,0.487023,10,10,10,0.00714756,10,10,10,10,SARS,F2
BD55-6585,1.66013,1.49283,2.019,2.098,0.0682712,2.54566,2.08172,3.0192,2.04659,SARS,E3
BD55-6626,0.0986492,10,10,10,0.0059794,10,10,10,10,SARS,F3
BD55-6637,1.59124,1.06963,1.062,1.76709,0.198414,1.95911,1.902102,1.81064,1.204358,SARS,E2.2
BD55-6638,0.123842,2.98469,10,10,0.00251831,1.13543,10,10,10,SARS,F3
BD55-6642,0.135124,10,10,10,0.0111829,10,10,10,10,SARS,F2
BD55-6647,0.178272,10,NA,NA,0.0120246,10,10,NA,NA,SARS,F2
BD55-6651,0.0338093,10,10,10,0.00641728,10,10,10,10,SARS,F3
BRII-198,1.238806734,1.171027979,8.99,1.687258,10,10,10,10,10,WT,E2.1
C135_Bloom,NA,NA,NA,NA,NA,NA,NA,NA,NA,WT,E1
COV2-2050_Bloom,NA,NA,NA,NA,NA,NA,NA,NA,NA,WT,C
COV2-2082_Bloom,NA,NA,NA,NA,NA,NA,NA,NA,NA,WT,F2
COV2-2094_Bloom,NA,NA,NA,NA,NA,NA,NA,NA,NA,WT,F2
COV2-2096_Bloom,NA,NA,NA,NA,NA,NA,NA,NA,NA,WT,D1
COV2-2165_Bloom,NA,NA,NA,NA,NA,NA,NA,NA,NA,WT,A
COV2-2832_Bloom,NA,NA,NA,NA,NA,NA,NA,NA,NA,WT,B
CR3022_Bloom,NA,NA,NA,NA,NA,NA,NA,NA,NA,SARS,F2
HuR33,0.00792253,0.0533861,0.796466,NA,10,10,NA,NA,NA,WT,E1
OC220225-GC0003,0.00205372,0.0398081,0.0393997,0.0578237,10,0.0380164,0.052047,1.17217,0.0498478,BA.1,A
OC220225-GC0005,0.00651945,0.0344991,0.033543,0.020435,10,0.0235256,0.0259617,10,0.022428,BA.1,C
OC220225-GC0006,0.000951831,0.00426484,0.00204589,0.00150824,10,0.00276496,0.00201034,10,0.00278083,BA.1,B
OC220225-GC0009,0.0178187,0.0167954,0.0221565,0.0211071,10,0.00185775,0.0148178,0.0228454,0.0192589,BA.1,A
OC220225-GC0010,0.00316372,0.0112215,0.00894763,0.0091695,10,0.00805934,0.0806246,1.44627,0.00980345,BA.1,C
OC220225-GC0012,0.00129338,0.00601102,0.00476482,0.006676,10,0.00495268,0.00538241,5.91865,0.00314723,BA.1,B
OC220225-GC0013,0.00942405,0.0412656,0.0546388,0.0732925,10,0.0507329,0.0596692,0.050704,0.0519188,BA.1,A
OC220225-GC0014,0.0398627,0.0413381,10,10,10,0.038313,10,10,10,BA.1,F2
OC220225-GC0015,0.00239396,0.0866647,0.00329431,0.00352513,10,0.0604331,0.00321901,0.219497,0.00370227,BA.1,D1
OC220225-GC0017,0.00599731,0.0317955,0.0788066,0.245908,10,0.069183,0.61263,10,0.353215,BA.1,C
OC220225-GC0018,0.0163924,0.08240436,0.140975224,0.081675775,10,0.114010816,0.155782427,0.47788,0.164174984,BA.1,A
OC220225-GC0019,0.566425,1.49281,10,10,10,1.912369,10,10,10,BA.1,F2
OC220225-GC0020,0.00421348,1.0175,1.64937,1.49628,10,1.25698,1.52849,1.6435,1.3318,BA.1,D1
OC220225-GC0021,0.0168608,0.0126666,0.013854,0.0108616,10,0.01411787,0.01271418,0.0108148,0.00985197,BA.1,A
OC220225-GC0022,0.000743586,0.0462869,0.042344,0.0389802,10,0.0397788,0.0583072,4.26703,0.0351974,BA.1,B
OC220225-GC0023,0.00149695,0.0231089,0.00110921,0.0161195,10,0.0207549,0.00222203,0.00174856,0.00157696,BA.1,D2
OC220225-GC0024,0.00420576,0.010313,0.00809,0.0124851,10,0.00740661,0.01087257,0.00908435,0.00860094,BA.1,A
OC220225-GC0025,0.0054105,0.001185,0.000800925,0.00159126,10,0.0008296,0.001459128,0.00975725,0.000762742,BA.1,A
OC220225-GC0026,0.0672632,0.297665,0.27302,0.299177,10,1.16765,1.66757,1.77284,0.512897,BA.1,E2.1
OC220225-GC0027,0.0143404,0.02117,0.01611,0.01453259,10,0.01503156,0.01429669,0.01388933,0.01424067,BA.1,A
OC220225-GC0028,0.00194251,0.00622734,0.00587712,0.0085583,10,0.00633822,0.0064611,0.00567861,0.00536497,BA.1,D2
OC220225-GC0029,0.00407871,0.0689758,0.0797193,0.0772893,10,0.0622981,0.0970712,0.0714428,0.0836257,BA.1,A
OC220225-GC0030,0.015186,1.69194,2.10776,1.778932,10,6.02964,3.3154,4.04462,2.16461,BA.1,E2.1
OC220225-GC0031,0.000447122,0.0593304,0.0369878,0.0527709,10,0.0531248,0.074652,8.17772,0.0518282,BA.1,B
OC220225-GC0032,0.037845,0.282719,1.64388,1.353498,0.0350617,0.234279,1.728288,1.644605,1.554057,BA.1,F2
OC220225-GC0033,0.0235622,0.012111,0.008987,0.00782503,10,0.0083388,0.0069213,0.00771135,0.007154,BA.1,A
OC220225-GC0034,0.0107367,0.02694,0.0307983,0.024717,10,0.110455,0.0476,0.174308,0.0323956,BA.1,E2.1
OC220225-GC0035,0.0161247,0.0847027,0.0157498,0.0605814,10,0.0978327,0.0130218,0.262925,0.0120222,BA.1,D1
OC220225-GC0037,0.00651537,0.00437673,0.00930811,0.0055638,0.0124627,0.0779575,0.00970043,0.01313019,0.00930811,BA.1,E1
OC220225-GC0038,0.00367572,0.00268394,0.00157297,0.01679119,10,0.00231979,0.001924374,2.67474,0.00197624,BA.1,B
OC220225-GC0041,0.0284526,0.0307894,0.0320853,0.0383072,10,0.108706,0.429392,1.74742,0.0724205,BA.1,E2.1
OC220225-GC0042,0.00591628,0.005429,0.00122689,0.00668086,10,0.00434978,0.000935759,0.297899,0.001871518,BA.1,D1
OC220225-GC0043,0.00148003,0.002429473,0.002295035,0.002162611,10,0.002519393,0.002445554,10,0.001876287,BA.1,C
OC220225-GC0045,0.000516546,0.000964473,0.000629736,0.000567224,10,0.00130488,0.000638312,0.000716455,0.00076822,BA.1,D2
OC220225-GC0046,0.00762069,0.0166562,0.0148487,0.0218174,10,0.0249868,0.01522516,10,0.0174525,BA.1,D1
OC220225-GC0047,0.00866685,0.014705056,0.028300513,0.015240565,10,0.022475001,0.018447358,10,0.016276009,BA.1,C
OC220225-GC0049,0.00155918,0.00650841,0.00856713,0.0105686,10,0.0102381,0.00528773,0.133726,0.00819381,BA.1,B
OC220225-GC0051,0.142761,0.65017,0.876211,0.675961,10,0.63703,3.54039,5.62186,0.961315,BA.1,E2.1
OC220225-GC0052,0.0248898,0.0954832,0.0952564,0.0718777,10,0.0984583,3.52541,10,0.264043,BA.1,E2.1
OC220225-GC0053,0.0347896,0.018976,0.0151221,0.0195178,10,0.0294529,0.0220459,0.249282,0.022469,BA.1,E2.1
OC220225-GC0054,0.00334918,0.00687135,0.00100511,0.00504289,10,0.00674806,1.244282,5.49144,0.0617077,BA.1,C
OC220225-GC0056,0.00302613,0.00111,0.001247,0.00265046,10,0.00079007,0.001179614,0.120048,0.00153492,BA.1,B
OC220225-GC0057,5.02642,6.84595,6.0182,4.52149,4.99803,4.89874,6.13514,6.11586,7.34356,BA.1,F1
OC220225-GC0058,0.0617597,0.0568815,0.0938184,0.0739325,10,2.3033,0.0641274,0.0688227,0.0708148,BA.1,E1
OC220225-GC0059,0.0220268,0.0143,0.0177,0.017862,10,0.0199074,0.0193668,0.08721,0.0209737,BA.1,E1
OC220225-GC0060,0.0176489,0.0937868,0.08873,0.0720043,10,0.0803143,0.121493,0.240834,0.0848963,BA.1,E2.1
OC220225-GC0062,0.00582124,0.00305865,0.00214741,0.01354148,10,0.00336647,0.001164076,1.26709,0.001955078,BA.1,B
OC220225-GC0064,10,10,10,10,10,10,10,10,10,BA.1,F1
OC220225-GC0065,0.0404062,0.03372,0.0363621,0.0436751,10,1.74037,0.0710141,0.51157,0.0371608,BA.1,E2.1
OC220225-GC0067,0.00573318,0.00362626,0.000401596,0.00377176,10,0.00364618,0.1680198,10,0.00116047,BA.1,D1
OC220225-GC0068,0.0420525,0.145191,0.1565,0.1195356,10,0.171816,0.1729452,1.24516,0.151282,BA.1,E2.1
OC220225-GC0069,0.0443837,0.286092,0.0398706,0.213076,10,0.28546,0.72992,10,0.0408497,BA.1,D1
OC220225-GC0070,0.0669616,0.0488754,0.0471634,0.0560938,10,0.0461514,0.0522486,7.18565,0.0449989,BA.1,D1
OC220225-GC0073,0.0290047,0.459,0.479056,0.427816,10,0.45345,9.04394,10,2.99276,BA.1,D1
OC220225-GC0074,10,10,10,10,1.30824,10,10,10,10,BA.1,F1
OC220225-GC0075,10,10,10,10,10,10,10,10,10,BA.1,F1
OC220225-GC0077,0.00567525,0.0482034,0.0205665,0.0830507,10,0.0401196,1.118418,10,0.0373151,BA.1,C
OC220225-GC0078,0.028186,0.0340624,0.0459569,0.037848,10,0.0456219,0.0380257,0.434416,0.0429031,BA.1,E2.1
OC220225-GC0079,0.0045864,0.000692083,0.000279317,0.00074756,10,0.000209995,0.000339624,0.193827,0.000247855,BA.1,B
OC220225-GC0082,0.00157239,0.00041,0.000425176,0.00116648,10,0.00101801,0.000502186,0.000714152,0.000459013,BA.1,D2
OC220225-GC0083,10,10,10,10,0.318364,10,10,10,10,BA.1,F1
OC220225-GC0085,0.153658,0.0135705,0.251165,0.0438897,10,0.0193,0.737516,0.494221,0.499533,BA.1,D1
OC220225-GC0087,0.189702,0.144399,0.0732552,0.0774863,10,0.115085,1.240396,10,0.118519,BA.1,E2.2
OC220225-GC0088,0.876635,5.87278,4.974,5.18321,2.90677,5.40144,3.81098,4.63766,5.80727,BA.1,F1
OC220225-GC0089,0.0479634,0.009631,0.00447314,0.0078418,10,0.0064792,0.0453562,0.00827009,0.00437336,BA.1,D1
OC220225-GC0090,10,10,10,10,NA,10,10,10,10,BA.1,F1
OC220225-GC0091,10,10,10,10,1.12823,10,10,10,10,BA.1,F1
OC220225-GC0092,0.701974,7.56073,8.20801,7.92844,1.66408,6.447,6.45138,7.21541,7.71762,BA.1,F1
OC220225-GC0096,0.0604501,0.27057,0.27511,0.20539,10,0.2852608,0.349665,0.255318,0.378594,BA.1,E2.2
OC220225-GC0097,3.63139,6.5586,7.60178,7.84718,1.56621,9.1521,6.49438,6.86946,6.70877,BA.1,F1
OC220225-GC0099,0.172053,0.210296,0.1687755,0.113208,10,2.10094,0.175582,2.79855,0.18917,BA.1,E2.1
OC220225-GC0100,0.30721,0.637694,0.535993,0.437088,10,0.4755,0.3569707,0.4158,0.428196,BA.1,E2.2
OC220225-SN0003,0.00481146,0.67948,0.895289,0.33299,10,0.701982,0.493338,0.707948,0.655349,BA.1,B
OC220225-SN0005,0.00249744,0.0737835,0.0469521,0.0500773,10,0.0566528,0.0458046,0.173376,0.0531792,BA.1,B
OC220225-SN0006,0.00632526,0.014533,0.0152924,0.0204705,10,0.01666329,0.01104627,0.01653733,0.0156379,BA.1,A
OC220225-SN0007,0.00931675,0.528595,0.482527,0.399089,10,10,0.549826,10,0.4964874,BA.1,E2.1
OC220225-SN0008,10,10,10,10,0.530752,10,10,10,10,BA.1,F3
OC220225-SN0010,0.0136344,0.645525,0.0103287,0.0476716,10,4.01115,0.0119276,10,0.0108423,BA.1,D1
OC220225-SN0012,0.0017738,0.0052181,0.0077889,0.00520066,10,0.00520222,0.00889214,1.64566,0.00650822,BA.1,D1
OC220225-SN0014,0.00433644,0.15912,0.257623,0.194601,10,0.2261202,0.316843,10,0.338501,BA.1,E2.1
OC220225-SN0015,0.0234722,0.0132,0.0111085,0.0166787,10,0.00973333,0.01713316,0.0120994,0.0106247,BA.1,A
OC220225-SN0019,0.27579,0.614504,10,10,0.232649,0.683413,10,10,10,BA.1,F2
OC220225-SN0021,0.000686679,0.00129374,8e-04,0.00131812,10,0.00129643,0.00174442,0.00121983,0.00129785,BA.1,D2
OC220225-SN0022,0.00377214,0.00234187,0.002754,0.00335544,10,0.0475687,0.00224892,0.00207978,0.00278013,BA.1,D1
OC220225-SN0023,0.00447181,0.064331,0.00544255,0.00320931,10,0.00721503,0.00351133,0.00721046,0.00547226,BA.1,A
OC220225-SN0025,0.0771483,0.112839,0.165727,0.165739,10,0.265934,2.89918,2.68107,0.250435,BA.1,E2.1
OC220225-SN0027,0.000377211,0.002965,0.00199,0.00358363,10,0.00184,0.0024139,0.0052572,0.00289237,BA.1,D1
OC220225-SN0028,0.0083016,0.0025432,0.0012754,0.00231778,10,0.00229441,0.002546915,0.182217,0.00255982,BA.1,D1
OC220225-SN0030,0.0367261,3.52958,10,10,10,3.43489,9.36552,8.75599,9.1982,BA.1,F2
OC220225-SN0031,0.00416866,0.00731687,0.00354633,0.00742576,10,0.0469398,0.229356,2.65929,0.00682241,BA.1,D1
OC220225-SN0032,0.0231123,0.0641508,0.0410935,0.0352768,10,0.0472844,0.0577907,10,0.04671764,BA.1,D1
OC220225-SN0033,10,10,10,10,10,10,10,10,10,BA.1,F1
OC220225-SN0037,0.589505,2.155,10,10,0.228474,2.4313,10,10,10,BA.1,F2
OC220225-SN0038,0.607011,5.09659,10,10,0.610061,4.18205,10,8.41398,7.07782,BA.1,F2
OC220225-SN0039,0.503256,10,10,10,10,10,10,10,10,BA.1,F1
OC220225-SN0040,0.22513,0.151081,0.266846,0.27299,10,0.398677,0.2128134,0.2369,0.265755,BA.1,E1
OC220225-SN0041,10,10,10,10,10,10,10,10,10,BA.1,F1
OC220225-SN0042,10,10,10,10,2.00578,10,10,10,10,BA.1,F2
OC220225-SN0044,0.0120648,0.00327303,0.00333802,0.00490954,10,0.00327562,0.0035,0.00637374,0.00326843,BA.1,A
